Sanatçı Adı,Şarkı Id,Şarkı Adı,Şarkı Sözü,Satır No
Duman,1,Ah,Yarışmadı,1
Duman,1,Ah,Yenilmedi,2
Duman,1,Ah,Açık seçik sizle oynamadı,3
Duman,1,Ah,Gerilmedi,4
Duman,1,Ah,Sanılmasın yine basmış onu bulantılar,5
Duman,1,Ah,Yanılmasın öyle dalga geçen,6
Duman,1,Ah,Yabancılar,7
Duman,1,Ah,Ah eğleniyor kendi başına,8
Duman,1,Ah,Ah neşesi yeter,9
Duman,1,Ah,Ah umurunda mı sandın bu dünya,10
Duman,1,Ah,Ah neşesi yeter,11
Duman,1,Ah,Konuşmadı,12
Duman,1,Ah,Hiç duymadı,13
Duman,1,Ah,Açık seçik sizle takılmadı,14
Duman,2,Akıbet,Bir yol var hiç girilmez,1
Duman,2,Akıbet,Tek yön var pek dönülmez,2
Duman,2,Akıbet,Gönül verir girersen,3
Duman,2,Akıbet,Akıbetin bilinmez,4
Duman,2,Akıbet,Ben sana kandım daldım içeri,5
Duman,2,Akıbet,Bir nefes aldım baktım ileri,6
Duman,2,Akıbet,Ateşlerde yandım söndürme beni,7
Duman,2,Akıbet,Gecelerde taştım tanımam seni,8
Duman,2,Akıbet,Derinlere daldım öldürsen beni dönemem geri,9
Duman,2,Akıbet,End Ezoic - 300x250 - mid_content,10
Duman,2,Akıbet,Bir aşk var ki değişmez,11
Duman,2,Akıbet,Tadından da yenilmez,12
Duman,2,Akıbet,Üzülme hiç bitersen,13
Duman,2,Akıbet,Gözyaşların silinmez,14
Duman,2,Akıbet,Ben sana kandım daldım içeri,15
Duman,2,Akıbet,Bir nefes aldım baktım ileri,16
Duman,2,Akıbet,Ateşlerde yandım söndürme beni,17
Duman,2,Akıbet,Gecelerde taştım tanımam seni,18
Duman,3,Al beni yar,Bulutlardı yağmuru getiren,1
Duman,3,Al beni yar,Hüznüm bulut oldu,2
Duman,3,Al beni yar,Yağmur oldu yasak sevdamız,3
Duman,3,Al beni yar,İnatla gurbete doğdu,4
Duman,3,Al beni yar,Acıya büyüdü sevgiler karanlıklar kentinde,5
Duman,3,Al beni yar,Güneşi hiç göremeden,6
Duman,3,Al beni yar,Oynadığımız bir oyundu,7
Duman,3,Al beni yar,Al beni yar götür,8
Duman,3,Al beni yar,Götür buralardan,9
Duman,3,Al beni yar,Bıktım artık hep aynı varoluşlardan,10
Duman,3,Al beni yar,Yitirmekten yitirilmekten,11
Duman,3,Al beni yar,End Ezoic - 300x250 - mid_content,12
Duman,3,Al beni yar,Aldatmadan aldatılışlardan,13
Duman,3,Al beni yar,Hiç almadan hep vermelerden,14
Duman,3,Al beni yar,Al beni yar götür,15
Duman,3,Al beni yar,Götür buralardan,16
Duman,3,Al beni yar,Bıktım artık hep aynı varoluşlardan,17
Duman,3,Al beni yar,Yasaktı bize sevda yaşamak,18
Duman,3,Al beni yar,Aramızda hep birileri oldu,19
Duman,3,Al beni yar,Aramızda hep sende oldun,20
Duman,3,Al beni yar,Ben yalnız seninle doğdum,21
Duman,3,Al beni yar,Al beni yar götür,22
Duman,3,Al beni yar,Götür buralardan,23
Duman,4,Aman Aman,Nereye gider başını alıp sorarsın,1
Duman,4,Aman Aman,Kim bilir durmadan nasıl susarsın,2
Duman,4,Aman Aman,Bilmeden boşuna atıp tutarsın,3
Duman,4,Aman Aman,Su gibi akıp geçer zaman,4
Duman,4,Aman Aman,Gezdin tozdun aman aman aman,5
Duman,4,Aman Aman,Sazdın sözdün aman aman aman,6
Duman,4,Aman Aman,Giderek üzdün bizi zaman(2x),7
Duman,4,Aman Aman,Yazdın çizdin aman aman aman,8
Duman,4,Aman Aman,İncecik izdin aman aman aman,9
Duman,4,Aman Aman,Sıraya dizdin bizi zaman(2x),10
Duman,4,Aman Aman,End Ezoic - 300x250 - mid_content,11
Duman,4,Aman Aman,Hep kaçıp yeni bir adım atarken,12
Duman,4,Aman Aman,Dibine kadar çileye batıp çıkarken,13
Duman,4,Aman Aman,İçine atıp atıp yoluna basıp giderken,14
Duman,4,Aman Aman,Su gibi akıp geçer zaman,15
Duman,4,Aman Aman,Gezdin tozdun aman aman aman,16
Duman,4,Aman Aman,Sazdın sözdün aman aman aman,17
Duman,4,Aman Aman,Giderek üzdün bizi zaman(2x),18
Duman,4,Aman Aman,Yazdın çizdin aman aman aman,19
Duman,4,Aman Aman,İncecik izdin aman aman aman,20
Duman,4,Aman Aman,Sıraya dizdin bizi zaman(2x),21
Duman,5,Bal,Aşkım sen benim canımsın,1
Duman,5,Bal,Kanıma karışmış kanın,2
Duman,5,Bal,Söyle kimlerden kaçarsın,3
Duman,5,Bal,Boşuna durmadan ağlarsın,4
Duman,5,Bal,Yavrum sen benim balımsın,5
Duman,5,Bal,Tadına alışmış canım,6
Duman,5,Bal,Aaah güzelkuşum gir kanıma,7
Duman,5,Bal,Ben zaten sarhoşum,8
Duman,5,Bal,Nerdesin...sevgilim...,9
Duman,5,Bal,Söyle nerdesin bal,10
Duman,5,Bal,Artık benlesin bal,11
Duman,5,Bal,Söyle nerdesin bal,12
Duman,5,Bal,Artık benlesin bal,13
Duman,5,Bal,Artık sen benim canımsın,14
Duman,6,Balık,Kaçan balık misali,1
Duman,6,Balık,Şu giden kimin yari,2
Duman,6,Balık,Takıl ağıma canım,3
Duman,6,Balık,Tadına bakacağım,4
Duman,6,Balık,Kokan balık misali,5
Duman,6,Balık,Baştan çıkardı beni,6
Duman,6,Balık,Takıl ağıma canım,7
Duman,6,Balık,Tadına bakacağım,8
Duman,6,Balık,Sudan çıkmış misali,9
Duman,6,Balık,Yoldan çıkardı beni,10
Duman,6,Balık,Takıl ağıma canım,11
Duman,6,Balık,Tadına bakacağım,12
Duman,7,Bebek,Geri gel beri gel geri bebek,1
Duman,7,Bebek,Saçları altın bebek,2
Duman,7,Bebek,Isırır ısıtır dudakları,3
Duman,7,Bebek,Islak ıslak öpmek gerek,4
Duman,7,Bebek,Geri gel beri gel geri bebek,5
Duman,7,Bebek,Gözleri sürmeli bebek,6
Duman,7,Bebek,Isırır ısıtır bakışları,7
Duman,7,Bebek,Dönüp dönüp bakmak gerek,8
Duman,7,Bebek,Gel,9
Duman,7,Bebek,Gitme yalvarırım yalnız koma beni bebek,10
Duman,7,Bebek,"Dünyalar güzeli, biricik bebek",11
Duman,7,Bebek,Hasret ateşiyle kül olmuşum ben bebek,12
Duman,7,Bebek,Alem yıkılsa ararım,13
Duman,7,Bebek,"Bebek güzel, bebek tatlı, bebek nazik, bebek narin",14
Duman,7,Bebek,"Bebek güzel, bebek tatlı, bebek nazik, bebek narin",15
Duman,7,Bebek,Bebek,16
Duman,8,Belki Alışman Lazım,Orada bir adam var,1
Duman,8,Belki Alışman Lazım,Adamın içi dapdar,2
Duman,8,Belki Alışman Lazım,Beyni başı patlar,3
Duman,8,Belki Alışman Lazım,Kendinden geçer,4
Duman,8,Belki Alışman Lazım,Onu bunu bilmez,5
Duman,8,Belki Alışman Lazım,Bildiğini görmez,6
Duman,8,Belki Alışman Lazım,Görmeden inanmaz,7
Duman,8,Belki Alışman Lazım,Kendinden geçer,8
Duman,8,Belki Alışman Lazım,Yeter yeter,9
Duman,8,Belki Alışman Lazım,Yalnız mı kaldın,10
Duman,8,Belki Alışman Lazım,Bir tek sen mi varsın,11
Duman,8,Belki Alışman Lazım,Yalnız mı kaldın,12
Duman,8,Belki Alışman Lazım,End Ezoic - 300x250 - mid_content,13
Duman,8,Belki Alışman Lazım,Belki alışman lazım,14
Duman,8,Belki Alışman Lazım,Bu yalnızlığa,15
Duman,8,Belki Alışman Lazım,Belki katlanman lazım,16
Duman,8,Belki Alışman Lazım,Orada bir kadın var,17
Duman,8,Belki Alışman Lazım,Kadının içi dapdar,18
Duman,8,Belki Alışman Lazım,Beyni başı patlar,19
Duman,8,Belki Alışman Lazım,Kendinden geçer,20
Duman,8,Belki Alışman Lazım,Onu bunu bilmez,21
Duman,8,Belki Alışman Lazım,Bildiğini görmez,22
Duman,8,Belki Alışman Lazım,Görmeden inanmaz,23
Duman,8,Belki Alışman Lazım,Kendinden geçer,24
Duman,9,Bu Akşam,Kendime geldim geleli dostlar,1
Duman,9,Bu Akşam,Olamam kimseye düşman,2
Duman,9,Bu Akşam,Bi şüphem yok kefenim sağlam,3
Duman,9,Bu Akşam,İçerim ben bu akşam,4
Duman,9,Bu Akşam,Sesleri duydum duyalı dostlar,5
Duman,9,Bu Akşam,Yola çıktım yeni baştan,6
Duman,9,Bu Akşam,Acelem yok hedefim sağlam,7
Duman,9,Bu Akşam,İçerim ben bu akşam,8
Duman,9,Bu Akşam,İçerim ben bu akşam,9
Duman,9,Bu Akşam,End Ezoic - 300x250 - mid_content,10
Duman,9,Bu Akşam,Ben burda bu akşam(4),11
Duman,9,Bu Akşam,İçerim ben,12
Duman,9,Bu Akşam,Sizleri gördüm göreli dostlar,13
Duman,9,Bu Akşam,Hemen her gün bana bayram,14
Duman,9,Bu Akşam,Yarınım yok sevenim sağlam,15
Duman,9,Bu Akşam,İçerim ben bu akşam,16
Duman,9,Bu Akşam,İçerim ben bu akşam,17
Duman,9,Bu Akşam,İçerim ben,18
Duman,9,Bu Akşam,Ben burda bu akşam(4),19
Duman,10,Bu Aşk Beni Yorar,"şarkılar, o şarkılar",1
Duman,10,Bu Aşk Beni Yorar,"övünmek zor, ölüm çok zor",2
Duman,10,Bu Aşk Beni Yorar,o an gelir sancılar,3
Duman,10,Bu Aşk Beni Yorar,"dayanmak zor, durulmaz",4
Duman,10,Bu Aşk Beni Yorar,"ellerimde kan, dilimden akar",5
Duman,10,Bu Aşk Beni Yorar,"kime ne, banane",6
Duman,10,Bu Aşk Beni Yorar,bu aşk beni yorar,7
Duman,10,Bu Aşk Beni Yorar,"ellerimde kan, dilimden akar",8
Duman,10,Bu Aşk Beni Yorar,"kime ne, banane",9
Duman,10,Bu Aşk Beni Yorar,bu aşk beni yorar,10
